config,seed,f1,f2,f3,f4,hv,delta_h_mean,delta_h_max,wall_s
h_safe_hi,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.048811932862358506,0.19060091517781075,0.767
h_safe_hi,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.07249990236402357,0.17303581480258468,0.747
h_safe_hi,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.08766116793773926,0.22603748789013178,0.757
h_safe_hi,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.11310309229085144,0.23861046435846467,0.781
h_safe_hi,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.09634292692617681,0.2415687370280356,0.756
h_safe_hi,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.059277046169867786,0.2668770622521841,0.741
h_safe_hi,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.1357140514084921,0.2099345525665558,0.779
h_safe_hi,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.11030009751567191,0.2306432864518222,0.779
h_safe_hi,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.03604201342704812,0.17372233981718,0.751
h_safe_hi,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.09693007089258819,0.2326962261744142,0.759
h_safe_hi,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.06362930311930023,0.21677257289005059,0.788
h_safe_hi,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.08114230118341496,0.18783006015491677,0.748
h_safe_hi,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.06377260308264032,0.2126056501449658,0.752
h_safe_hi,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.0935866610218211,0.19395781692380154,0.79
h_safe_hi,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.08437465410899542,0.2032582538319826,0.775
h_safe_hi,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.09591139245629512,0.19769742694568548,0.751
h_safe_hi,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.0793707749590823,0.2670124804195887,0.755
h_safe_hi,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.11976901663847991,0.2404906615225002,0.79
h_safe_hi,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.10737073010759901,0.19989992331800344,0.76
alpha_lo,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.0636609821643597,0.16466890365404563,0.752
alpha_lo,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.08360712357107644,0.23537707572971633,0.775
alpha_lo,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.103132459494827,0.25064634529126995,0.778
alpha_lo,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.1341442184398718,0.23553612553541348,0.75
alpha_lo,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.11377284226401826,0.23471460884616213,0.759
alpha_lo,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.08287878091908349,0.2191221566886269,0.783
alpha_lo,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.11016282533487898,0.24182379982820368,0.774
alpha_lo,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.05943555645102512,0.17294952386673357,0.728
alpha_lo,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.08945244709131848,0.19705961602637379,0.763
alpha_lo,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.10585316812384675,0.21426888442478575,0.731
alpha_lo,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.08746625086346656,0.1996793528790507,0.74
alpha_lo,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.048811932862358506,0.19060091517781075,0.74
alpha_lo,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.07249990236402357,0.17303581480258468,0.755
alpha_lo,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.08766116793773926,0.22603748789013178,0.764
alpha_lo,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.11310309229085144,0.23861046435846467,0.771
alpha_lo,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.09634292692617681,0.2415687370280356,0.777
alpha_lo,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.059277046169867786,0.2668770622521841,0.766
alpha_lo,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.1357140514084921,0.2099345525665558,0.753
alpha_lo,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.11030009751567191,0.2306432864518222,0.779
alpha_lo,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.03604201342704812,0.17372233981718,0.77
alpha_lo,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.09693007089258819,0.2326962261744142,0.731
alpha_lo,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.06362930311930023,0.21677257289005059,0.758
alpha_lo,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.08114230118341496,0.18783006015491677,0.811
alpha_lo,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.06377260308264032,0.2126056501449658,0.764
alpha_lo,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.0935866610218211,0.19395781692380154,0.741
alpha_lo,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.08437465410899542,0.2032582538319826,0.775
alpha_lo,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.09591139245629512,0.19769742694568548,0.776
alpha_lo,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.0793707749590823,0.2670124804195887,0.739
alpha_lo,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.11976901663847991,0.2404906615225002,0.75
alpha_lo,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.10737073010759901,0.19989992331800344,0.781
alpha_mid,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.0636609821643597,0.16466890365404563,0.762
alpha_mid,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.08360712357107644,0.23537707572971633,0.735
alpha_mid,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.103132459494827,0.25064634529126995,0.762
alpha_mid,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.1341442184398718,0.23553612553541348,0.771
alpha_mid,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.11377284226401826,0.23471460884616213,0.737
alpha_mid,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.08287878091908349,0.2191221566886269,0.784
alpha_mid,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.11016282533487898,0.24182379982820368,0.794
alpha_mid,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.05943555645102512,0.17294952386673357,0.759
alpha_mid,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.08945244709131848,0.19705961602637379,0.765
alpha_mid,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.10585316812384675,0.21426888442478575,0.776
alpha_mid,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.08746625086346656,0.1996793528790507,0.763
alpha_mid,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.048811932862358506,0.19060091517781075,0.764
alpha_mid,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.07249990236402357,0.17303581480258468,0.748
alpha_mid,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.08766116793773926,0.22603748789013178,0.793
alpha_mid,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.11310309229085144,0.23861046435846467,0.762
alpha_mid,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.09634292692617681,0.2415687370280356,0.744
alpha_mid,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.059277046169867786,0.2668770622521841,0.757
alpha_mid,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.1357140514084921,0.2099345525665558,0.771
alpha_mid,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.11030009751567191,0.2306432864518222,0.735
alpha_mid,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.03604201342704812,0.17372233981718,0.744
alpha_mid,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.09693007089258819,0.2326962261744142,0.774
alpha_mid,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.06362930311930023,0.21677257289005059,0.764
alpha_mid,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.08114230118341496,0.18783006015491677,0.761
alpha_mid,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.06377260308264032,0.2126056501449658,0.79
alpha_mid,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.0935866610218211,0.19395781692380154,0.77
alpha_mid,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.08437465410899542,0.2032582538319826,0.738
alpha_mid,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.09591139245629512,0.19769742694568548,0.769
alpha_mid,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.0793707749590823,0.2670124804195887,0.792
alpha_mid,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.11976901663847991,0.2404906615225002,0.772
alpha_mid,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.10737073010759901,0.19989992331800344,0.764
beta_lo,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.040020016102447556,0.13048619053889876,0.777
