seed,variant,row,f1,f2,f3,f4,knee
1,-impAstar,13,313.66666666666663,2383.484964523099,1385.3333333333335,0.0,0
1,-impAstar,14,320.6666666666667,2355.1696159687067,1411.6666666666667,0.0,0
1,-impAstar,15,326.0,2338.215353086896,1411.6666666666667,0.0,0
1,-impAstar,16,313.66666666666663,2521.3777670952954,1357.1666666666665,0.0,0
1,-impAstar,17,338.66666666666663,2392.300106974386,1382.5,0.0,0
1,-impAstar,18,338.6666666666667,2374.8542317197507,1379.5,0.0,0
1,-impAstar,19,338.6666666666667,2397.2449273436955,1375.1666666666667,0.0,0
1,-impAstar,20,320.6666666666667,2359.5569292458686,1393.5,0.0,0
1,-impAstar,21,319.3333333333333,2371.462607432849,1388.5,0.0,0
1,-impAstar,22,330.0,2357.8068153187414,1402.1666666666665,0.0,0
1,-impAstar,23,287.0,2414.8142922444517,1374.0,0.0,0
1,-impAstar,24,331.6666666666667,2370.03607252825,1389.8333333333335,0.0,0
1,-closedLoop,0,333.99999999999994,2396.3343840295693,1378.1666666666667,0.0,0
1,-closedLoop,1,338.6666666666667,2397.2449273436955,1375.1666666666667,0.0,0
1,-closedLoop,2,313.66666666666663,2416.4123662388306,1358.6666666666667,0.0,0
1,-closedLoop,3,348.0,2368.454633585638,1378.8333333333335,0.0,0
1,-closedLoop,4,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0
1,-closedLoop,5,287.0,2414.8142922444517,1374.0,0.0,0
1,-closedLoop,6,340.66666666666663,2377.583706233385,1367.8333333333333,0.0,0
1,-closedLoop,7,330.0,2357.8068153187414,1402.1666666666665,0.0,0
1,-closedLoop,8,331.6666666666667,2382.302954757715,1383.3333333333333,0.0,0
1,-closedLoop,9,348.0,2351.701433924551,1381.6666666666667,0.0,0
1,-closedLoop,10,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0
1,-closedLoop,11,348.0,2351.701433924551,1381.6666666666667,0.0,0
1,-closedLoop,12,372.0,2410.996718337117,1366.1666666666667,0.0,0
1,-closedLoop,13,313.66666666666663,2383.484964523099,1385.3333333333335,0.0,0
